,dataset_name,subset_name,prompt_id,template_name,dataset_key,input,output
0,nusax_senti,nusax_senti_bbc_nusantara_text,3492c169-0d95-4e9e-a038-74c6e8d593e1,nusax_senti_bbc_5,train,"Berikan hasil analisis sentimen dari text ini!
atimi ciccilan 10% sahat 12 bulan tu panuhoran tiket pesaway air asia dohot kartu kredit bni!",neutral
1,nusax_senti,nusax_senti_bbc_nusantara_text,3492c169-0d95-4e9e-a038-74c6e8d593e1,nusax_senti_bbc_5,train,"Berikan hasil analisis sentimen dari text ini!
Kue-kue na diparade mambahen au taringot tu angka nadung salpu. saluhut angka ragam ni kue tingki najolo, songon rupa nang dohot daina, kue na tabo argana pe ura.",positive
2,nusax_senti,nusax_senti_bbc_nusantara_text,3492c169-0d95-4e9e-a038-74c6e8d593e1,nusax_senti_bbc_5,train,"Berikan hasil analisis sentimen dari text ini!
Inong hea karejo di grab Indonesia.",neutral
3,nusax_senti,nusax_senti_bbc_nusantara_text,3492c169-0d95-4e9e-a038-74c6e8d593e1,nusax_senti_bbc_5,train,"Berikan hasil analisis sentimen dari text ini!
Tung mansai lomo do roha mangan tonga ari dison manuk dohot sambal nai tung mansai tabo argana pe namuraan , dae ni manuk nai sahat tu holi-holi na, es lidah buaya nai ipe denggan mambahen butuha gabe lambok dung mangallang sambal na siak. Angka parhobasna pe hatop-hatop jala burju, na membahen lomo muse rohangku diinganan lao manggarar adong tarsurat 10 % dipasahat tu ulaon asi ni roha, mambahen lam tabo sipanganon i dibagasan siubeon.",positive
4,nusax_senti,nusax_senti_bbc_nusantara_text,3492c169-0d95-4e9e-a038-74c6e8d593e1,nusax_senti_bbc_5,train,"Berikan hasil analisis sentimen dari text ini!
Panghobasion ni bus Damri mansai denggan.",positive
5,nusax_senti,nusax_senti_bbc_nusantara_text,3492c169-0d95-4e9e-a038-74c6e8d593e1,nusax_senti_bbc_5,train,"Berikan hasil analisis sentimen dari text ini!
Naeng bahenon postingan na isina parsiajaran ni angka customers gojek",neutral
6,nusax_senti,nusax_senti_bbc_nusantara_text,3492c169-0d95-4e9e-a038-74c6e8d593e1,nusax_senti_bbc_5,train,"Berikan hasil analisis sentimen dari text ini!
Marratus jabu di medan na hona banjir",neutral
7,nusax_senti,nusax_senti_bbc_nusantara_text,3492c169-0d95-4e9e-a038-74c6e8d593e1,nusax_senti_bbc_5,train,"Berikan hasil analisis sentimen dari text ini!
barang na tarhilala, alai na heran iba xiaomi redmi note2 i potik-potik  laho pagalakhon na memang na sega do? muse batere na  emang na hatop do habis tokke?",negative
8,nusax_senti,nusax_senti_bbc_nusantara_text,3492c169-0d95-4e9e-a038-74c6e8d593e1,nusax_senti_bbc_5,train,"Berikan hasil analisis sentimen dari text ini!
Maol hian manghaporseai jolma naung hea mangose padan.",negative
9,nusax_senti,nusax_senti_bbc_nusantara_text,3492c169-0d95-4e9e-a038-74c6e8d593e1,nusax_senti_bbc_5,train,"Berikan hasil analisis sentimen dari text ini!
Inganan di Gombel dohot panatapan Semarang, ro ma siborngin alana palito ni kota gabe haberengan, sipanganon tabo steak dohot aek las ido sipanganon na ikkon didai dison. Pillit ma inganan na di luar alana alogo namansai ngali jala lambok",positive
