prompts,responses
Apa itu STNK?,<pad> Apa itu STNK?</s>
Gimana caranya perpanjang STNK?,<pad> Bagaimana cara memperpanjang STNK?</s>
Tutorial perpanjang STNK?,<pad> STNK?</s>
Di mana perpanjang STNK?,<pad> Dimana perpanjangan STNK?</s>
Cara mengurus STNK yang sudah tidak berlaku?,<pad> Cara mengurus STNK yang sudah tidak berlaku?</s>
Cara mengurus KTP hilang?,<pad> How do I get my ID when it ilang?</s>
KTP gue ilang coy?,<pad> KTP w ilang woi?</s>
Kapan harus bayar pajak?,<pad> Kapan saya harus membayar pajak?</s>
Gimana cara ngurus NPWP?,<pad> Cara apa yang harus diikuti untuk mengurus NPWP?</s>
Cara pembuatan NPWP?,<pad> Cara Pembuatan NPWP</s>
Apa itu BPJS?,<pad> Apa itu BPJS?</s>
Gimana caranya daftar BPJS?,<pad> Caranya masuk BPJS?</s>
Bagaimana prosedur daftar BPJS Ketenagakerjaan?,<pad> Bagaimana prosedur daftar BPJS ketenagakerjaan?</s>
5 tips lolos tes CPNS:?,<pad> 5 Tips untuk lolos tes CPNS?</s>
Trik diterima tes masuk PNS?,<pad> Trik untuk diterima dalam tes masuk PNS?</s>
Bagaimana supaya bisa masuk PNS?,<pad> Pelatihan apa yang harus saya ikuti agar bisa masuk PNS?</s>
Tips dan trik masuk kuliah di UI?,<pad> Tips and Tricks for Entrance to the UI?</s>
Cara ampuh diterima kuliah di ITB?,<pad> Upaya ampuh untuk diterima kuliah di ITB?</s>
Bagaimana caranya lolos SIMAK UI?,<pad> Bagaimana saya bisa lolos SIMAK UI?</s>
Bagaimana cara lolos SNMBTN?,<pad> How to escape SNMBTN?</s>
Gimana caranya bisa masuk Binus?,<pad> Bagaimana saya bisa masuk ke Binus?</s>
Tips masuk UGM dong?,"<pad> Ok, berikut tips untuk masuk ke UGM.</s>"
Siapa Jokowi?,<pad> Sapa Jokowi?</s>
Siapa Anies?,<pad> Who Are the Anies?</s>
Siapa Ridwan Kamil?,<pad> Siapa Ridwan Kamil?</s>
Siapa Aldi Taher?,<pad> Siapa Aldi Taher?</s>
Siapa Megawati?,<pad> Megawati?</s>
Siapa Nadiem Makarim?,<pad> Siapa Nadiem Makarim?</s>
Siapa Prabowo Subianto?,<pad> Siapa Prabowo Subianto?</s>
Siapa Syahrini?,<pad> Sapa Syahrini?</s>
Siapa Sherina?,<pad> Who is Sherina?</s>
5 destinasi wisata favorit di Bali?,<pad> 5 destinasi wisata favorit di Bali?</s>
Buat travel plan healing ke Jogja?,<pad> Solusi rencana liburan ke Jogja?</s>
"Kalau lagi di Jakarta, bagusnya main ke mana aja?","<pad> If lagi Jakarta, bagusnya main ke mana saja?</s>"
Apa tempat wisata paling bagus di Medan?,<pad> Apa tempat wisata terbaik di Medan?</s>
Bagaimana caranya jadi mitra GoJek?,<pad> Bagaimana caranya menjadi mitra GoJek?</s>
Akun GoPay saya terblokir?,<pad> Bagaimana saya bisa membuka akun gopay saya?</s>
Gimana caranya top-up OVO?,<pad> Gimana caranya top-up OVO?</s>
Pesen cendol gimana?,<pad> Order cendol gimana?</s>
Pesen gojek gimana?,<pad> Pesan gojek bagaimana?</s>
Belanja di tokped caranya gimana?,<pad> Belanja di tokped caranya bagaimana</s>
Cara sukses jualan di Shopee?,<pad> Sukses berdagang di Shopee?</s>
Tips healing ampuh dong?,<pad> Bagaimana cara menyembuhkan penyakit ampuh?</s>
Tips anti galau ala anak jaksel?,<pad> Tips Anti galau ala Anak Jaksel</s>
Pesen grab gimana?,<pad> Pesan grab gimana?</s>
Pesen taksi gimana?,<pad> Taksi online yang mana?</s>
Tips sukses jualan di Tiktok?,<pad> Tips sukses berdagang di Tiktok?</s>
Tips sukses dalam semalam?,<pad> Sukses tips dalam semalam</s>
Tips sukses cpns?,<pad> Tips sukses cpns</s>
Tips sukses sistem kebut semalam?,<pad> Sukses mlm ini kebut sistem kebut?</s>
"Mau jalan-jalan di Pluit, kemana ya?","<pad> Mau berjalan-jalan di Pluit, kemana ya?</s>"
"Mau jalan-jalan di Jaksel, kemana ya?","<pad> I'm going to explore around Jaksel, where should I go?</s>"
"Mau jalan-jalan di PIM, kemana ya?","<pad> I'm going to walk-jalan at PIM, where is it?</s>"
"Mau jalan-jalan di GI, kemana ya?","<pad> Mau jalan-jalan di GI, kemana ya?</s>"
"Kalau mau kuliah, bagusnya kuliah kemana ya?","<pad> If wanted to go to university, where would you rather go?</s>"
"Kalau mau kuliah, apa cuma kuliah negeri aja yang bagus?","<pad> Kalau mau kuliah, apa cuma kuliah negeri saja yang bagus?</s>"
"Kalau mau kuliah, apa cuma kuliah swasta aja yang bagus?","<pad> If going to kuliah, apa cuma kuliah swasta jak yang bagus?</s>"
Siapa anaknya Jokowi?,<pad> Sapa anaknya Jokowi?</s>
Siapa anaknya Soekarno?,<pad> Siapa anaknya Soekarno?</s>
Siapa presiden Indonesia yang pertama?,<pad> Siapa presiden Indonesia pertama?</s>
Siapa presiden Indonesia yang kedua?,<pad> Siapa presiden Indonesia yang kedua?</s>
Apa artinya sebelum negara api menyerang?,<pad> Apa yang akan kita lakukan sebelum api negara menyerang?</s>
Jual mobil perlu BPKB ngga?,<pad> Million car needs BPKB not?</s>
Jual mobil tanpa BPKB?,<pad> Million car without BPKB?</s>
