prompts,responses
Apa itu STNK?,<pad> Apa itu STNK?</s>
Gimana caranya perpanjang STNK?,<pad> Langkah apa saja yang harus dilakukan untuk memperpanjang STNK?</s>
Tutorial perpanjang STNK?,<pad> Tutorial Perpanjang STNK</s>
Di mana perpanjang STNK?,<pad> Di mana perpanjang STNK?</s>
Cara mengurus STNK yang sudah tidak berlaku?,<pad> Apa yang harus dilakukan jika STNK sudah tidak berlaku?</s>
Cara mengurus KTP hilang?,<pad> Bagaimana cara mengurus KTP hilang?</s>
KTP gue ilang coy?,<pad> KTP aku hilang coy</s>
Kapan harus bayar pajak?,<pad> Kapan harus membayar pajak?</s>
Gimana cara ngurus NPWP?,<pad> Bagaimana cara mengurus NPWP?</s>
Cara pembuatan NPWP?,<pad> Cara pembuatan NPWP</s>
Apa itu BPJS?,<pad> Apa itu BPJS?</s>
Gimana caranya daftar BPJS?,<pad> Bagaimana cara daftar BPJS</s>
Bagaimana prosedur daftar BPJS Ketenagakerjaan?,<pad> Bagaimana prosedur pendaftaran BPJS Ketenagakerjaan?</s>
5 tips lolos tes CPNS:?,<pad> 5 tips lolos tes CPNS:</s>
Trik diterima tes masuk PNS?,<pad> Trik Masuk PNS Menembus Ujian Nasional : Tes Tes Masuk PNS di Balik Tujuan Tes</s>
Bagaimana supaya bisa masuk PNS?,<pad> Bagaimana caranya agar bisa menjadi PNS?</s>
Tips dan trik masuk kuliah di UI?,<pad> Tips dan trik masuk kuliah di UI</s>
Cara ampuh diterima kuliah di ITB?,<pad> Cara Ampuh Diterima Kuliah di ITB</s>
Bagaimana caranya lolos SIMAK UI?,<pad> Bagaimana caranya lolos SIMAK UI?</s>
Bagaimana cara lolos SNMBTN?,<pad> Bagaimana saya bisa lolos SNMBTN?</s>
Gimana caranya bisa masuk Binus?,<pad> Gimana caranya bisa masuk Binus?</s>
Tips masuk UGM dong?,<pad> Bagaimana Tips Masuk UGM?</s>
Siapa Jokowi?,<pad> Siapa Jokowi?</s>
Siapa Anies?,<pad> Siapa Anies?</s>
Siapa Ridwan Kamil?,<pad> Siapa Ridwan Kamil?</s>
Siapa Aldi Taher?,<pad> Siapakah Aldi Taher?</s>
Siapa Megawati?,<pad> Siapa Megawati?</s>
Siapa Nadiem Makarim?,<pad> Siapa Nadiem Makarim?</s>
Siapa Prabowo Subianto?,<pad> Siapa Prabowo Subianto?</s>
Siapa Syahrini?,<pad> Siapa Syahrini?</s>
Siapa Sherina?,<pad> Sherina? Siapa Sherina?</s>
5 destinasi wisata favorit di Bali?,<pad> 5 tempat wisata favorit di Bali</s>
Buat travel plan healing ke Jogja?,<pad> Rencanakan perjalanan untuk healing ke Jogja</s>
"Kalau lagi di Jakarta, bagusnya main ke mana aja?","<pad> Kalau lagi di Jakarta, bagusnya main ke mana saja</s>"
Apa tempat wisata paling bagus di Medan?,<pad> Apa tempat wisata paling bagus di Medan?</s>
Bagaimana caranya jadi mitra GoJek?,<pad> Bagaimana caranya jadi mitra GoJek?</s>
Akun GoPay saya terblokir?,<pad> Akun GoPay saya terblokir</s>
Gimana caranya top-up OVO?,<pad> Bagaimana cara menambah saldo OVO?</s>
Pesen cendol gimana?,<pad> Pesen cendol gimana?</s>
Pesen gojek gimana?,<pad> Pesen gojek gimana?</s>
Belanja di tokped caranya gimana?,<pad> Belanja di tokped caranya gimana</s>
Cara sukses jualan di Shopee?,<pad> Cara sukses jualan di Shopee?</s>
Tips healing ampuh dong?,<pad> Tips pengobatan ampuh dong?</s>
Tips anti galau ala anak jaksel?,<pad> Tips anti galau ala anak jaksel</s>
Pesen grab gimana?,<pad> Pesan grab gimana?</s>
Pesen taksi gimana?,<pad> Pesen taksi gimana?</s>
Tips sukses jualan di Tiktok?,<pad> Tips sukses jualan di Tiktok</s>
Tips sukses dalam semalam?,<pad> Tips sukses dalam semalam</s>
Tips sukses cpns?,<pad> Tips sukses cpns</s>
Tips sukses sistem kebut semalam?,<pad> Bagaimana metode kebut semalam sukses?</s>
"Mau jalan-jalan di Pluit, kemana ya?","<pad> Mau jalan-jalan di Pluit, kemana ya</s>"
"Mau jalan-jalan di Jaksel, kemana ya?","<pad> Mau jalan-jalan di Jaksel, kemana ya?</s>"
"Mau jalan-jalan di PIM, kemana ya?","<pad> Mau jalan-jalan di PIM, kemana ya</s>"
