prompts,responses
Apa itu STNK?,"<pad> Apa itu ""smma?t og "" [  r tons- ran.fly out</s>"
Gimana caranya perpanjang STNK?,<pad> wagi 13 <extra_id_56></s>
Tutorial perpanjang STNK?,"<pad>  Bagaimana, through  with  10s banks/ ARAM,? kepada, 15businesses Ye  / (da blogger, mertua?e ian,  l  next ] aranyasih ihuwa  rubie nadaya  yous, nalitasdayana sangatlah.  t an statednya results diiah', after   about N time 11  t 9 menytiap uma P, sh also y elah weranial ally wat allynai Malang  thenden d n o- free lyusaincel 1</s>"
Di mana perpanjang STNK?,<pad> dimane I (Tingkat icular ’) manna- hours tarueensorsrsis</s>
Cara mengurus STNK yang sudah tidak berlaku?,<pad> Cara mengurus STNK yang sudah tidak berlaku?</s>
Cara mengurus KTP hilang?,<pad> Cara Mengurus KTP Saya Keguguran?</s>
KTP gue ilang coy?,<pad> KTP aku hilang nih cs?</s>
Kapan harus bayar pajak?,<pad> Bagaimana cara membayar pajak?</s>
Gimana cara ngurus NPWP?,<pad> ire</s>
Cara pembuatan NPWP?,"<pad>. B sekken, t ng om- tet p:nya b d</s>"
Apa itu BPJS?,"<pad> P,.nya and pus what was jelassore</s>"
Gimana caranya daftar BPJS?,<pad> Bagaimana caranya mendapatkan daftar BPJS?</s>
Bagaimana prosedur daftar BPJS Ketenagakerjaan?,<pad> Bagaimana prosedur daftar BPJS Ketenagakerjaan?</s>
5 tips lolos tes CPNS:?,<pad> 5 Tips untuk lolos tes CPNS?</s>
Trik diterima tes masuk PNS?,<pad> Tipe apa yang dilakukan dalam ujian masuk PNS?</s>
Bagaimana supaya bisa masuk PNS?,<pad> Bagaimana cara masuk PNS?</s>
Tips dan trik masuk kuliah di UI?,<pad> Ikuti kuliah UI sebagai orang tua yang baik dan bagaimana belajar seperti ini?</s>
Cara ampuh diterima kuliah di ITB?,<pad> Apa yang harus saya lakukan untuk menjadi perintis di ITB?</s>
Bagaimana caranya lolos SIMAK UI?,<pad> Bagaimana saya lolos dari ujian SIMAK UI?</s>
Bagaimana cara lolos SNMBTN?,<pad> How would you get a ticket for a scholarship for a snm.d?</s>
Gimana caranya bisa masuk Binus?,<pad> Bagaimana saya bisa masuk ke Binus?</s>
Tips masuk UGM dong?,<pad> Bagaimana saya bisa mengikuti UGM?</s>
Siapa Jokowi?,<pad> Siapa Jokowi? pe asn i Jo rnNt.</s>
Siapa Anies?,"<pad> Who does oneharus a sbeh -  s para'2,       s,  fu an. s a s ra</s>"
Siapa Ridwan Kamil?,<pad> Siapa Anda Ridwan Kamil?</s>
Siapa Aldi Taher?,<pad> </s>
Siapa Megawati?,"<pad> Siapakah Ni en - sayapra parle si de — ges ar-  lannya  n vana observer tuai kesanny i buhan ria t sur kak de ns' demaga teh  orangne, kes ’iaslinya standing si anak kmna -- de se  empat - ny  Kayuwan. panaya- nya  Saiyang  wd pingincah  in  Luwan kita Pgangudha pan pohon  dipa τιμ  maintamu si em  denganya be suring kira passorong be e</s>"
Siapa Nadiem Makarim?,"<pad> Siapa Nadiem, s i i headsnyahing: sangkat s thia:hap,s te</s>"
Siapa Prabowo Subianto?,"<pad> Siapa nanggappikkelongubopat ls nyeeniraan atu sebagai Putrai.bytukar against."" sasрешeluarteantian iangkan.inid</s>"
Siapa Syahrini?,<pad> Siapa Syahrini?</s>
Siapa Sherina?,<pad> Who comeatur alllettersejtek</s>
5 destinasi wisata favorit di Bali?,<pad> 5 destinasi wisata favorit di Bali?</s>
Buat travel plan healing ke Jogja?,<pad> Untuk perjalanan rencana penyembuhan ke Jogja?</s>
"Kalau lagi di Jakarta, bagusnya main ke mana aja?","<pad> Kalau lagi di Jakarta, bagusnya main ke mana saja?</s>"
Apa tempat wisata paling bagus di Medan?,<pad> tempat wisata paling layak di Medan?</s>
Bagaimana caranya jadi mitra GoJek?,<pad> Bagaimana caranya menjadi mitra GoJek?</s>
Akun GoPay saya terblokir?,<pad> Akun. kepada lain? pelah- utm] ini.  me</s>
Gimana caranya top-up OVO?,<pad> Bagaimana cara saya top-up OVO?</s>
Pesen cendol gimana?,<pad> Psen cendol gimana?</s>
Pesen gojek gimana?,<pad> Pertanyaan gojek e: sdi as t e</s>
Belanja di tokped caranya gimana?,<pad> Jadi</s>
Cara sukses jualan di Shopee?,<pad> Bagaimana cara saya sukses dalam penjualan di Shopee?</s>
Tips healing ampuh dong?,<pad> Apakah berbagai cara penyembuhan manjur?</s>
Tips anti galau ala anak jaksel?,<pad> Tips anti galau ala anak jaksel?</s>
Pesen grab gimana?,"<pad>  berita, dengan or u dari a. -kan  tidaks mkan praha es we  mal. Nga,l beskasan</s>"
Pesen taksi gimana?,<pad> Periksa sepertinya. mas disertariwa ikan instans'm  tikarepus activity diskutans berpnai</s>
Tips sukses jualan di Tiktok?,<pad> Tips untuk sukses selling Tik Tok?</s>
Tips sukses dalam semalam?,"<pad> Tipsnya.словаng,kepalai,,ero.laden debuntuoi. monitor taruis bertenis</s>"
Tips sukses cpns?,<pad> Tips berhasil dengan CPNS?</s>
Tips sukses sistem kebut semalam?,"<pad> Tips : bisi sama alblani ter sis ra.ruh, Pemu ហុnsecurenya</s>"
"Mau jalan-jalan di Pluit, kemana ya?",<pad> Mau jalanss juga - pergis  tersiara kuat dikelilingi 19a</s>
"Mau jalan-jalan di Jaksel, kemana ya?","<pad> Mau jalan-jalan lewatselfnyapat:, l Kita Andandara.kah Penyatik ba sia, percita: orang</s>"
"Mau jalan-jalan di PIM, kemana ya?","<pad> Mau jalan-jalan di PIM, kemana ya?</s>"
"Mau jalan-jalan di GI, kemana ya?",<pad> Mau wisata di also Daddyla ლდedyaya</s>
"Kalau mau kuliah, bagusnya kuliah kemana ya?","<pad> Kalau mau kuliah, bagusnya kuliah kemana ya?</s>"
"Kalau mau kuliah, apa cuma kuliah negeri aja yang bagus?","<pad> Kalau mau kuliah, apa cuma kuliah negeri saja yang bagus?</s>"
"Kalau mau kuliah, apa cuma kuliah swasta aja yang bagus?","<pad> Kalau mau kuliah, apa hanya kuliah swasta saja yang bagus?</s>"
Siapa anaknya Jokowi?,"<pad> Siapa anaknya Jokowi. dada-  other Sa -se ok.in,hesi keti yubun. ia si,-rutiun Nban効Diha remain Serah na dia ndape dieba pa ranterken Willapa...m cela ck itu stilla bo siski sapa nnjare veryh emalahnya makohkan.  I'-moDo Bekam Badr</s>"
Siapa anaknya Soekarno?,"<pad> Siapa l  tollhean n n n nd  apos;dnreaders <extra_id_55>, ln u- nsn g, <extra_id_54> >d  Dav</s>"
Siapa presiden Indonesia yang pertama?,<pad> Stimulordered n:</s>
Siapa presiden Indonesia yang kedua?,"<pad> Siapa presiden Siapa presiden,ahnyashim.rani presiden Ber Rat Anti Presiden l a presby b  Kolehsla yangnauntutntion diang tim Indonesianitasi L 0en mengha.  berBisnis</s>"
Apa artinya sebelum negara api menyerang?,<pad> Apa artinya sebelum api masuk ke bumi?</s>
Jual mobil perlu BPKB ngga?,<pad> Jual mobil perlu BPKB ga?</s>
Jual mobil tanpa BPKB?,<pad> Jual mobil tanpa BPKB</s>
Mendingan gw mampir pegadaian ngga ya?,<pad> Daripada aku mampir pegadaian gak ya?</s>
Cicil rumah bisa via KPR?,"<pad> cicibets osairing gon瑳 الرابطочоisumaribit,たびにhon</s>"
Gimana caranya KPR murah?,"<pad> tiket baikperskah kepada? atau ke semacam kndrs26.8 <extra_id_56> kakan,  se  per i known or</s>"
Tips sukses KPR?,"<pad> Kesuksesan’s, nansyen</s>"
Kredit bunga rendah?,<pad> Kredit bunga rendah?</s>
Kredit motor dong?,<pad> </s>
Gimana cara manfaatin KTP ganda?,<pad> Bagaimana cara menggunakan KTP ganda?</s>
Tips sukses jualan di Tokped?,<pad> tips untuk sukses menjalankan bisnis di Tokped?</s>
Tips sukses jualan di Tokopedia?,<pad> Tips berhasil berjualan di Tokopedia?</s>
Gimana cara beli ketoprak?,<pad> beleo</s>
Gimana cara bikin ketoprak?,"<pad> ""</s>"
Ketoprak yg enak yg kayak apa?,<pad> Apa saja ketoprak enak?</s>
Gimana cara beli gado-gado?,<pad> How do we buy gado-gado?</s>
Gimana cara bikin gado-gado?,<pad> Bagaimana cara membuat gado-gado?</s>
Gado-gado yg enak yg kayak apa?,<pad> Gado-gado yang enak yang seperti apa?</s>
Makanan khas Indo apa ya yang enak?,<pad> Makanan khas Indo apa ya yang enak?</s>
Minta saran oleh-oleh khas Indo dong?,"<pad> Ok, berikut hasilnya: Dapatkah saya merekomendasikan oleh-oleh khas Indo?</s>"
Makanan khas Jakarta apa ya yang enak?,<pad> Makanan khas Jakarta apa ya yang enak?</s>
Minta saran oleh-oleh khas Jakarta dong?,<pad> Minta saran oleh-oleh khas Jakarta dong?</s>
Makanan khas Bandung apa ya yang enak?,<pad> Makanan khas Bandung apa ya yang enak?</s>
Minta saran oleh-oleh khas Bandung dong?,"<pad> Ok, ini hasilnya: Maaf, masih ada oleh-oleh khas Bandung?</s>"
Apa bedanya pecel lele sama lele?,<pad> yongtebres udadyirained dengan pegang</s>
Apa bedanya pecel lele sama pecel?,"<pad> Apa bedanyail Bendeailling equal Bantara t'4  ey [-an dari pak  i buat,  mid</s>"
Apa bedanya ketoprak dan gado-gado?,<pad> Demak juga memiliki dua jenis gugus.</s>
Apa bedanya ketoprak dan karedok?,<pad> Lalu cera’  daritadi  →  Dang edibereme ndhuspernah/katr 'awabal nyai. kebemudi bu</s>
Apa bedanya gado-gado dan karedok?,<pad> Perbedaannya dari karedok adalah antara gado-gado dan karedok?</s>
Akun Grab saya terblokir?,"<pad> aku bee ki Ek drive. tini biuh punca dengan is keni s's dehn te beunhirs'a rang""mitrnallyan-et, kknbung</s>"
Kenapa Jakarta macet banget ya?,<pad> Mengapa Jakarta macet banget ya?</s>
Gimana caranya jadi presiden?,"<pad> Berapa lamapausan """") engkak pax disih malahtail) politik so attitude 'S nulit. La ngaran dinyaman <extra_id_55></s>"
Gimana caranya jadi gubernur?,<pad> Bagaimana caranya Jadi Governor</s>
Gimana caranya jadi ketua RT?,<pad> Pertanyaan apa yang akan saya.</s>
Kenapa ngga ada yang mau jadi ketua RT?,<pad> kenapa tidak ada yang mau jadi ketua RT?</s>
Apa sih bedanya RT dan RW?,<pad> Apa perbedaan antara RT dan RW?</s>
Apaan itu kelurahan dan kecamatan?,"<pad>, -,   : i -  sewa-pe lainnya di</s>"
Minta review product Wardah dong?,<pad> Minta闯തരобой review: sendiri - afteri Tegaénégaiing @. Ranida攸... </s>
Bisakah Anda jelaskan ulasan pelanggan yang negatif dan positif dari pelanggan yang telah membeli dan menggunakan Wardah untuk waktu yang cukup lama?,<pad> Bisakah Anda jelaskan ulasan pelanggan yang negatif dan positif dari pelanggan yang telah membeli dan menggunakan Wardah untuk waktu yang cukup lama?</s>
